freq_Hz,cR_pick_ms,cR_hydro_prior_ms,lambda_m,z_lambda3_m,Vs_equiv_cR_over_0p92_ms
14.666698933396882,78.0,92.21940608284669,5.318170118184515,1.7727233727281717,84.78260869565217
14.833365966730938,73.0,92.15958666589123,4.921337487642945,1.6404458292143151,79.34782608695652
15.000033000064992,73.0,92.10641992558736,4.866655960002468,1.622218653334156,79.34782608695652
15.166700033399048,71.0,92.05359798982877,4.681308382419957,1.560436127473319,77.17391304347825
15.333367066733103,71.0,92.00084855104092,4.630424595654523,1.543474865218174,77.17391304347825
15.50003410006716,70.0,91.94808695471153,4.5161190967764835,1.5053730322588281,76.08695652173913
15.666701133401213,70.0,91.89564554663147,4.468075276598011,1.4893584255326704,76.08695652173913
15.83336816673527,69.0,91.84278382431972,4.357885149475894,1.4526283831586315,75.0
16.000035200069327,69.0,91.78987362242374,4.312490512502187,1.4374968375007289,75.0
16.16670223340338,68.0,91.73691210880361,4.206176313404195,1.4020587711347319,73.91304347826086
16.333369266737435,68.0,91.68389753572478,4.1632561469408875,1.3877520489802957,73.91304347826086
16.500036300071493,67.0,91.63081740733568,4.060597127274787,1.3535323757582622,72.82608695652173
16.666703333405547,68.0,91.57768391233213,4.079991024002069,1.3599970080006898,73.91304347826086
16.8333703667396,68.0,91.52448934744878,4.039595073269376,1.346531691089792,73.91304347826086
17.00003740007366,70.0,91.47122887685828,4.1176380000020885,1.3725460000006962,76.08695652173913
17.166704433407713,72.0,91.41790224875825,4.194165530099215,1.3980551766997384,78.26086956521739
17.33337146674177,71.0,91.36451800679524,4.096144834617462,1.365381611539154,77.17391304347825
17.500038500075824,74.0,91.31106932607806,4.22856212571643,1.4095207085721435,80.43478260869564
17.66670553340988,76.0,91.25755397534928,4.301877328304069,1.4339591094346897,82.6086956521739
17.833372566743936,78.0,91.20397170185666,4.373822153273246,1.4579407177577486,84.78260869565217
18.00003960007799,80.0,91.15032225120035,4.444434666668921,1.4814782222229737,86.95652173913044
18.166706633412048,82.0,91.09695432953858,4.513751537616968,1.5045838458723226,89.13043478260869
18.333373666746102,85.0,91.04317603666453,4.6363534363659875,1.5454511454553292,92.39130434782608
18.500040700080156,87.0,90.9893299118493,4.702692356759142,1.567564118919714,94.56521739130434
18.666707733414214,89.0,90.93541569649636,4.767846653573846,1.5892822178579489,96.73913043478261
18.833374766748268,92.0,90.88143313034328,4.884945005312212,1.6283150017707373,100.0
